epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9101,0.97415,6.17118,0.00814,0.02991,0.47768,0.10525,0.06095,0.50618,3.81388,0.00482,0.00011662,0.00011662,0.00011662
2,21.5588,0.84474,5.56207,0.00656,0.01421,0.95833,0.14014,0.0829,0.47929,3.79576,0.00473,0.000239976,0.000239976,0.000239976
3,25.2605,0.82491,5.28798,0.00712,0.00867,1,0.14715,0.06618,0.59442,3.87206,0.00568,0.000361682,0.000361682,0.000361682
4,28.827,0.83412,5.27024,0.00711,0.00791,1,0.18786,0.14297,0.62533,2.9439,0.00619,0.000481739,0.000481739,0.000481739
5,32.3275,0.90469,5.35768,0.00791,0.0085,1,0.21591,0.12555,1.14297,2.89857,0.01176,0.000600147,0.000600147,0.000600147
6,35.8216,0.90012,4.59473,0.00673,0.00891,1,0.25295,0.14915,0.95264,2.86403,0.00956,0.000716905,0.000716905,0.000716905
7,39.2975,0.87836,4.71294,0.00771,0.04155,0.95833,0.30966,0.23494,0.76655,2.48591,0.00759,0.000800013,0.000800013,0.000800013
8,42.6254,0.9488,5.035,0.00774,0.33797,0.16312,0.30455,0.16492,1.22901,2.71161,0.01302,0.000794515,0.000794515,0.000794515
9,46.0105,0.87497,4.85953,0.00788,0.25434,0.41815,0.30852,0.19031,0.94305,2.66815,0.00947,0.000789018,0.000789018,0.000789018
10,49.6954,0.85671,4.16362,0.0071,0.26225,0.35182,0.37385,0.26436,0.82435,2.3963,0.00814,0.00078352,0.00078352,0.00078352
11,53.1726,0.84298,4.5879,0.00699,0.22108,0.58641,0.39999,0.23523,1.22354,2.24166,0.01337,0.000778022,0.000778022,0.000778022
12,56.6138,0.85957,3.74969,0.00683,0.2487,0.51395,0.39713,0.20681,1.35855,2.29997,0.01495,0.000772524,0.000772524,0.000772524
13,60.0703,0.88876,4.41793,0.00792,0.27598,0.53571,0.45776,0.33929,0.76253,2.03426,0.00743,0.000767026,0.000767026,0.000767026
14,63.399,0.81233,3.84112,0.00673,0.29391,0.49702,0.48304,0.37066,0.72649,1.92729,0.00734,0.000761529,0.000761529,0.000761529
15,66.7828,0.82732,4.97137,0.00759,0.29603,0.60282,0.55789,0.3604,1.12703,1.95643,0.01198,0.000756031,0.000756031,0.000756031
16,70.3308,0.95111,3.9159,0.00737,0.47837,0.54196,0.60607,0.35888,1.2824,1.98421,0.01342,0.000750533,0.000750533,0.000750533
17,73.6784,0.93419,4.30001,0.00797,0.44472,0.43725,0.5605,0.43742,0.62691,2.00585,0.00633,0.000745035,0.000745035,0.000745035
18,77.1785,1.0013,3.67391,0.00773,0.4018,0.74072,0.63314,0.49893,0.90603,1.63743,0.00963,0.000739537,0.000739537,0.000739537
19,80.9623,0.97372,3.84418,0.00801,0.44648,0.70685,0.66782,0.50872,0.87793,1.61163,0.00965,0.00073404,0.00073404,0.00073404
20,84.2893,0.85259,3.99328,0.00754,0.6825,0.52067,0.67418,0.48484,1.11445,1.55123,0.01154,0.000728542,0.000728542,0.000728542
21,87.6797,0.92062,3.59734,0.00759,0.50877,0.56577,0.59024,0.43978,1.09117,1.49756,0.01119,0.000723044,0.000723044,0.000723044
22,91.087,0.85136,3.23855,0.00679,0.40222,0.81343,0.60941,0.47654,0.92917,1.52605,0.00968,0.000717546,0.000717546,0.000717546
23,94.5025,0.83,3.61863,0.00674,0.56237,0.68511,0.65858,0.49518,1.03174,1.61258,0.01159,0.000712048,0.000712048,0.000712048
24,97.9408,0.82115,3.15252,0.00639,0.40835,0.88736,0.61472,0.46166,1.11903,1.39445,0.01227,0.000706551,0.000706551,0.000706551
25,101.495,0.73209,3.20329,0.00584,0.36873,0.83467,0.6821,0.55795,0.83364,1.2069,0.0086,0.000701053,0.000701053,0.000701053
26,104.925,0.84772,3.18224,0.00652,0.41347,0.78612,0.6931,0.56762,0.83279,1.40987,0.00877,0.000695555,0.000695555,0.000695555
27,108.439,0.7733,3.75712,0.00614,0.63474,0.50223,0.69845,0.5714,0.80559,1.35703,0.00831,0.000690057,0.000690057,0.000690057
28,111.926,0.77288,3.19537,0.00605,0.52669,0.72871,0.71843,0.59073,0.72516,1.17745,0.00775,0.000684559,0.000684559,0.000684559
29,115.351,0.76526,3.13808,0.00592,0.35793,0.75263,0.6699,0.55956,0.70985,1.20153,0.00757,0.000679062,0.000679062,0.000679062
30,119.024,0.72566,2.96533,0.00574,0.47609,0.74338,0.6733,0.53096,0.8649,1.21873,0.0096,0.000673564,0.000673564,0.000673564
31,122.504,0.7616,3.21827,0.00619,0.54872,0.90772,0.73031,0.53701,1.09335,1.26313,0.01227,0.000668066,0.000668066,0.000668066
32,125.919,0.81486,2.78172,0.00671,0.42233,0.75724,0.63283,0.53428,0.68517,1.49884,0.00723,0.000662568,0.000662568,0.000662568
33,129.386,0.78673,2.92597,0.00674,0.51926,0.63542,0.68438,0.51875,0.98647,1.52006,0.01044,0.00065707,0.00065707,0.00065707
34,132.798,0.78385,2.52907,0.00595,0.6736,0.65625,0.74525,0.51351,1.24031,1.26531,0.01333,0.000651573,0.000651573,0.000651573
35,136.227,0.80561,2.8385,0.00626,0.51812,0.85063,0.71825,0.52418,1.15316,1.12684,0.01262,0.000646075,0.000646075,0.000646075
36,139.658,0.76456,2.69215,0.0064,0.50057,0.78082,0.7268,0.49571,1.26271,1.23697,0.01404,0.000640577,0.000640577,0.000640577
37,143.081,0.80582,2.55871,0.00675,0.68872,0.69956,0.75439,0.59512,0.93532,1.21342,0.00987,0.000635079,0.000635079,0.000635079
38,146.45,0.7668,2.88488,0.00744,0.68325,0.69384,0.74464,0.60223,0.88542,1.19446,0.00922,0.000629581,0.000629581,0.000629581
39,150.088,0.7144,2.484,0.00573,0.67117,0.76479,0.8087,0.63652,0.91687,1.04448,0.00934,0.000624084,0.000624084,0.000624084
40,153.506,0.79723,2.38096,0.00671,0.50932,0.94275,0.80397,0.67811,0.73837,0.94405,0.00737,0.000618586,0.000618586,0.000618586
41,156.948,0.72464,2.52769,0.00596,0.6091,0.79604,0.78629,0.63872,0.87692,0.99981,0.00886,0.000613088,0.000613088,0.000613088
42,160.412,0.74647,2.49165,0.00606,0.74691,0.66513,0.82648,0.7154,0.59364,1.06966,0.00612,0.00060759,0.00060759,0.00060759
43,163.797,0.72399,2.27696,0.00564,0.70337,0.69047,0.80705,0.6669,0.70784,1.13614,0.00746,0.000602092,0.000602092,0.000602092
44,167.185,0.77072,2.56461,0.00635,0.68974,0.68736,0.78329,0.68556,0.65581,1.02891,0.00682,0.000596595,0.000596595,0.000596595
45,170.724,0.79832,2.66949,0.00767,0.77492,0.76101,0.82426,0.72772,0.61422,0.84693,0.0061,0.000591097,0.000591097,0.000591097
46,174.05,0.78361,2.31858,0.00665,0.71558,0.71533,0.82643,0.71453,0.76296,0.90485,0.00765,0.000585599,0.000585599,0.000585599
47,177.399,0.78502,2.17763,0.00644,0.5912,0.85083,0.82267,0.6768,0.86216,0.98933,0.00861,0.000580101,0.000580101,0.000580101
48,180.827,0.77996,2.25192,0.00667,0.6871,0.84802,0.84872,0.75013,0.60557,0.93788,0.00593,0.000574603,0.000574603,0.000574603
49,184.532,0.79125,2.1697,0.00631,0.58074,0.78343,0.82316,0.68366,0.72227,1.02674,0.00754,0.000569106,0.000569106,0.000569106
50,187.906,0.73992,2.04974,0.00608,0.61518,0.73313,0.79959,0.71122,0.5634,0.97864,0.0058,0.000563608,0.000563608,0.000563608
51,191.361,0.78809,2.40581,0.00664,0.84186,0.57669,0.81571,0.71554,0.60219,0.89754,0.00608,0.00055811,0.00055811,0.00055811
52,194.707,0.71235,2.06932,0.00636,0.75191,0.7058,0.84759,0.65709,0.95598,0.95844,0.01004,0.000552612,0.000552612,0.000552612
53,198.145,0.79861,2.02178,0.007,0.77978,0.75093,0.84065,0.66935,0.86411,0.92333,0.00922,0.000547114,0.000547114,0.000547114
54,201.544,0.75646,2.04495,0.00597,0.81703,0.68748,0.8347,0.73532,0.58487,0.85893,0.00612,0.000541617,0.000541617,0.000541617
55,205.002,0.74046,1.92517,0.0061,0.76482,0.70689,0.83234,0.73409,0.5758,0.85098,0.00575,0.000536119,0.000536119,0.000536119
56,208.402,0.74831,1.84313,0.00557,0.68023,0.79334,0.82933,0.69025,0.74823,0.84798,0.00765,0.000530621,0.000530621,0.000530621
57,211.827,0.74024,1.92507,0.00565,0.80441,0.80355,0.86482,0.73967,0.64784,0.77493,0.00659,0.000525123,0.000525123,0.000525123
58,215.162,0.73206,1.86465,0.0063,0.70817,0.78947,0.87618,0.72041,0.81499,0.77036,0.00827,0.000519625,0.000519625,0.000519625
59,218.858,0.70603,1.85181,0.00549,0.75857,0.79829,0.8345,0.73521,0.61703,0.79961,0.00601,0.000514128,0.000514128,0.000514128
60,222.206,0.72885,1.93803,0.00531,0.81647,0.68098,0.83448,0.78681,0.41879,0.7394,0.0039,0.00050863,0.00050863,0.00050863
61,225.554,0.84399,2.03898,0.00687,0.72114,0.77779,0.85882,0.74785,0.59916,0.82781,0.00589,0.000503132,0.000503132,0.000503132
62,228.958,0.76998,1.82775,0.00573,0.71477,0.74486,0.84679,0.71164,0.78232,0.8349,0.00788,0.000497634,0.000497634,0.000497634
63,232.414,0.73485,1.76182,0.0056,0.71992,0.75248,0.85069,0.7267,0.7647,0.77235,0.00763,0.000492136,0.000492136,0.000492136
64,235.786,0.68134,2.0927,0.00562,0.78583,0.77211,0.87799,0.80049,0.54432,0.68956,0.00541,0.000486639,0.000486639,0.000486639
65,239.246,0.70285,1.58768,0.00571,0.74557,0.82096,0.88514,0.79139,0.55422,0.76153,0.00567,0.000481141,0.000481141,0.000481141
66,242.614,0.62167,1.84434,0.00541,0.75091,0.78709,0.87887,0.72309,0.86338,0.87308,0.00871,0.000475643,0.000475643,0.000475643
67,246.022,0.76584,1.82891,0.00708,0.85964,0.79511,0.89884,0.73243,0.87831,0.7901,0.00875,0.000470145,0.000470145,0.000470145
68,249.43,0.69418,1.76799,0.00503,0.76039,0.84339,0.89421,0.77752,0.69274,0.72764,0.007,0.000464647,0.000464647,0.000464647
69,253.063,0.75743,1.66436,0.00573,0.81941,0.79086,0.91055,0.75697,0.82435,0.71373,0.00854,0.00045915,0.00045915,0.00045915
70,256.421,0.7297,1.76457,0.00606,0.78465,0.83478,0.91205,0.75366,0.87987,0.72833,0.00906,0.000453652,0.000453652,0.000453652
71,259.806,0.70943,1.66921,0.00557,0.75641,0.8177,0.90428,0.75847,0.79578,0.8247,0.0077,0.000448154,0.000448154,0.000448154
