epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8679,0.97963,11.7454,0.00751,0.41495,0.17411,0.10379,0.08806,0.88826,6.96478,0.00874,0.00011662,0.00011662,0.00011662
2,20.8847,0.84533,7.18672,0.0062,0.46656,0.26222,0.15792,0.13887,0.6752,5.42302,0.0069,0.00024004,0.00024004,0.00024004
3,24.8674,0.82457,5.64099,0.00587,0.53357,0.2316,0.25861,0.221,0.66886,4.19872,0.00639,0.000361877,0.000361877,0.000361877
4,28.8835,0.79667,4.87275,0.00661,0.45691,0.25124,0.33203,0.29397,0.65684,3.22823,0.00665,0.000482132,0.000482132,0.000482132
5,32.7669,0.81701,4.21519,0.00627,0.51507,0.41178,0.43101,0.36865,0.68786,2.70974,0.00673,0.000600804,0.000600804,0.000600804
6,36.7111,0.88113,3.64597,0.00714,0.34455,0.4763,0.37948,0.32324,0.77367,2.24406,0.00757,0.000717893,0.000717893,0.000717893
7,40.5609,0.92536,3.03838,0.00682,0.47864,0.56983,0.4107,0.34116,0.80916,2.00941,0.00817,0.000801346,0.000801346,0.000801346
8,44.3107,0.93364,2.47212,0.00683,0.39424,0.72704,0.63642,0.54332,0.76234,1.43192,0.00819,0.00079607,0.00079607,0.00079607
9,48.1715,0.84364,2.18738,0.00633,0.50281,0.63566,0.59784,0.438,1.15934,1.98015,0.01208,0.000790795,0.000790795,0.000790795
10,52.2737,0.87659,2.27237,0.00709,0.42988,0.64747,0.62965,0.54159,0.73091,1.56452,0.00742,0.000785519,0.000785519,0.000785519
11,56.0762,0.89442,1.98354,0.00702,0.39284,0.58482,0.6322,0.46297,1.09088,1.64531,0.01159,0.000780243,0.000780243,0.000780243
12,59.9487,0.91293,1.97567,0.007,0.64659,0.59455,0.66871,0.55421,0.8969,1.25158,0.00928,0.000774968,0.000774968,0.000774968
13,63.7336,0.86951,1.7532,0.00662,0.60047,0.68601,0.71709,0.58486,0.87184,1.26352,0.00888,0.000769692,0.000769692,0.000769692
14,67.5114,0.89021,1.62653,0.0068,0.48675,0.85837,0.76907,0.63077,0.87198,1.28758,0.00901,0.000764416,0.000764416,0.000764416
15,71.3761,0.79961,1.55512,0.00648,0.43783,0.79092,0.68039,0.52034,1.0645,1.53994,0.01114,0.000759141,0.000759141,0.000759141
16,75.1671,0.84281,1.45978,0.0058,0.65205,0.69354,0.71376,0.56065,0.99178,1.08253,0.0106,0.000753865,0.000753865,0.000753865
17,78.9033,0.83364,1.4286,0.00636,0.61816,0.86879,0.73272,0.60968,0.8037,1.09848,0.0083,0.000748589,0.000748589,0.000748589
18,82.8004,0.88184,1.32327,0.00634,0.41689,0.74554,0.67746,0.53754,0.97061,1.28889,0.01033,0.000743314,0.000743314,0.000743314
19,86.9132,0.83158,1.18826,0.00643,0.75292,0.53818,0.69005,0.58147,0.789,1.16829,0.008,0.000738038,0.000738038,0.000738038
20,90.8057,0.86043,1.48412,0.00611,0.71317,0.77498,0.80259,0.6071,1.11031,0.93569,0.01128,0.000732762,0.000732762,0.000732762
21,94.5673,0.89645,1.20175,0.00695,0.77398,0.6251,0.79075,0.69405,0.67537,1.02136,0.00702,0.000727487,0.000727487,0.000727487
22,98.4039,0.88378,1.20773,0.00635,0.59014,0.79864,0.73352,0.65137,0.67588,1.13668,0.00692,0.000722211,0.000722211,0.000722211
23,102.165,0.83822,1.15093,0.00616,0.66081,0.5883,0.74608,0.60068,0.9659,1.00774,0.00972,0.000716935,0.000716935,0.000716935
24,105.963,0.87044,1.06066,0.00728,0.61337,0.88034,0.78005,0.68983,0.66906,0.91012,0.0064,0.00071166,0.00071166,0.00071166
25,109.804,0.84624,1.03236,0.00657,0.59873,0.65273,0.73391,0.58751,0.96649,1.52471,0.01003,0.000706384,0.000706384,0.000706384
26,113.633,0.9345,1.09059,0.0066,0.63798,0.7801,0.79054,0.58137,1.22634,1.11059,0.01332,0.000701108,0.000701108,0.000701108
27,117.413,0.84462,1.00456,0.00618,0.70859,0.74627,0.77133,0.67918,0.67844,1.09322,0.00656,0.000695833,0.000695833,0.000695833
28,121.38,0.8313,0.88774,0.00618,0.69723,0.78631,0.83246,0.72988,0.64164,0.98372,0.00594,0.000690557,0.000690557,0.000690557
29,125.512,0.76406,0.78347,0.0059,0.78132,0.66026,0.87827,0.70853,0.95785,0.88053,0.00969,0.000685281,0.000685281,0.000685281
30,129.232,0.85323,1.08983,0.00617,0.73838,0.88986,0.88117,0.68513,1.09451,0.74846,0.01138,0.000680006,0.000680006,0.000680006
31,132.99,0.82245,0.90188,0.00614,0.62106,0.86013,0.80887,0.65929,0.90203,1.04977,0.00932,0.00067473,0.00067473,0.00067473
32,136.792,0.81059,0.88013,0.00616,0.78106,0.822,0.82703,0.68444,0.85897,0.91377,0.0085,0.000669454,0.000669454,0.000669454
33,140.61,0.85106,0.92073,0.00624,0.82942,0.85003,0.90815,0.77215,0.73719,0.61753,0.00718,0.000664179,0.000664179,0.000664179
34,144.501,0.78685,0.88478,0.00628,0.79505,0.79747,0.87274,0.70339,0.97661,0.95794,0.01003,0.000658903,0.000658903,0.000658903
35,148.209,0.81507,0.73499,0.0062,0.71687,0.79555,0.86224,0.67733,1.00755,0.89391,0.01055,0.000653627,0.000653627,0.000653627
36,152.039,0.83847,0.85879,0.00656,0.64549,0.69432,0.75144,0.64057,0.74693,1.26049,0.00748,0.000648352,0.000648352,0.000648352
37,155.764,0.83337,0.74861,0.006,0.70781,0.75754,0.84723,0.70587,0.81726,1.10389,0.00835,0.000643076,0.000643076,0.000643076
38,159.643,0.80199,0.84717,0.00641,0.79991,0.7329,0.90605,0.72169,0.97183,0.85211,0.01017,0.0006378,0.0006378,0.0006378
39,163.598,0.78691,0.88199,0.0057,0.82684,0.78831,0.92056,0.72877,1.00322,0.81702,0.01008,0.000632525,0.000632525,0.000632525
40,167.372,0.81221,0.76168,0.00597,0.82542,0.74034,0.91937,0.75958,0.7893,0.89075,0.00769,0.000627249,0.000627249,0.000627249
41,171.158,0.83176,0.68736,0.00615,0.80913,0.70444,0.90105,0.70955,1.00789,0.98202,0.01055,0.000621973,0.000621973,0.000621973
42,175.034,0.85967,0.70723,0.00623,0.8479,0.78909,0.90846,0.70854,0.99261,0.72874,0.01037,0.000616698,0.000616698,0.000616698
43,178.797,0.82977,0.81276,0.00612,0.64049,0.88435,0.83606,0.70307,0.84038,0.98278,0.0086,0.000611422,0.000611422,0.000611422
44,182.738,0.80034,0.70565,0.00552,0.68473,0.88229,0.86666,0.73414,0.74065,0.76009,0.00731,0.000606146,0.000606146,0.000606146
45,186.532,0.71943,0.7244,0.00552,0.90034,0.86467,0.94142,0.78177,0.79693,0.48641,0.0076,0.000600871,0.000600871,0.000600871
46,190.446,0.79825,0.68033,0.00584,0.75926,0.92389,0.93012,0.74434,0.92234,0.54925,0.00906,0.000595595,0.000595595,0.000595595
47,194.163,0.8809,0.66669,0.00599,0.68914,0.90291,0.92731,0.72844,1.00998,0.82965,0.01055,0.000590319,0.000590319,0.000590319
48,198.214,0.84464,0.70723,0.00689,0.7332,0.91617,0.89565,0.7559,0.76262,0.90009,0.00754,0.000585044,0.000585044,0.000585044
49,202.022,0.82636,0.63226,0.00647,0.76881,0.83809,0.88653,0.74185,0.82945,0.71174,0.00835,0.000579768,0.000579768,0.000579768
50,205.769,0.83401,0.66847,0.00628,0.83735,0.8754,0.92816,0.75943,0.83825,0.57402,0.00844,0.000574492,0.000574492,0.000574492
51,209.556,0.7784,0.5647,0.00619,0.84021,0.83578,0.89916,0.77265,0.70682,0.83963,0.007,0.000569217,0.000569217,0.000569217
52,213.249,0.76335,0.61356,0.00551,0.84531,0.94069,0.97631,0.88018,0.55364,0.41976,0.00523,0.000563941,0.000563941,0.000563941
53,217.074,0.8232,0.64064,0.00598,0.87344,0.8876,0.95277,0.85889,0.52329,0.50607,0.00498,0.000558665,0.000558665,0.000558665
54,220.851,0.77234,0.72268,0.00566,0.95352,0.85823,0.94311,0.82486,0.64556,0.57471,0.0064,0.00055339,0.00055339,0.00055339
55,224.635,0.80134,0.63233,0.00588,0.85964,0.91306,0.95756,0.81026,0.78494,0.4762,0.00789,0.000548114,0.000548114,0.000548114
56,228.4,0.7845,0.63481,0.00568,0.83806,0.9462,0.97631,0.83982,0.75413,0.46151,0.00761,0.000542838,0.000542838,0.000542838
57,232.226,0.85642,0.63394,0.00569,0.88802,0.90555,0.97183,0.7574,0.99458,0.52669,0.01036,0.000537563,0.000537563,0.000537563
58,236.224,0.85157,0.55876,0.00664,0.9422,0.89218,0.9551,0.72461,1.05898,0.49618,0.01084,0.000532287,0.000532287,0.000532287
59,240.019,0.83712,0.62536,0.00637,0.90787,0.88257,0.96996,0.79341,0.82604,0.44896,0.0084,0.000527011,0.000527011,0.000527011
60,243.713,0.84411,0.6736,0.00595,0.8518,0.86873,0.94981,0.77218,0.8534,0.54866,0.0088,0.000521736,0.000521736,0.000521736
61,247.455,0.75006,0.52863,0.00558,0.92286,0.88444,0.97558,0.84479,0.67619,0.37928,0.00658,0.00051646,0.00051646,0.00051646
62,251.187,0.74577,0.51466,0.00562,0.9356,0.88835,0.98469,0.8516,0.66517,0.38995,0.00622,0.000511184,0.000511184,0.000511184
63,254.852,0.77917,0.49492,0.00582,0.88053,0.95813,0.97576,0.80248,0.84206,0.42798,0.00803,0.000505909,0.000505909,0.000505909
64,258.633,0.77651,0.55083,0.00544,0.88593,0.92029,0.95792,0.79885,0.80834,0.43296,0.00807,0.000500633,0.000500633,0.000500633
65,262.347,0.71211,0.53341,0.0056,0.7888,0.96526,0.95846,0.84536,0.64967,0.48165,0.00636,0.000495357,0.000495357,0.000495357
66,266.065,0.81238,0.55245,0.00601,0.86842,0.84208,0.96794,0.81947,0.74396,0.45968,0.00723,0.000490082,0.000490082,0.000490082
67,270.062,0.77379,0.52359,0.00598,0.77363,0.92284,0.92624,0.79551,0.72495,0.70894,0.00728,0.000484806,0.000484806,0.000484806
